Close,High,Low,Open,Volume
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2362.368408203125,2374.7999458983372,2343.326789953136,2365.920344937355,3792199
2360.888427734375,2382.6928771212197,2339.2814955090735,2339.2814955090735,1975188
2269.52734375,2343.2279819983573,2252.4587296430527,2343.2279819983573,6347884
2242.395263671875,2278.308219875756,2238.6460506699204,2275.1510766173806,3171843
2215.953857421875,2234.6996825737074,2176.883514966109,2234.6996825737074,5633313
2233.712890625,2274.06564640704,2221.873423006846,2221.873423006846,3410637
2252.656005859375,2262.226194073794,2222.070714305826,2233.7129057172556,3773336
2295.968994140625,2345.793423403843,2266.3703232911885,2269.2314317901273,10394707
2296.2646484375,2310.669430390967,2286.793218866712,2292.8114703818346,2537422
2296.0673828125,2304.650948701518,2283.0440165455843,2299.816595750975,3299087
2286.300048828125,2308.696328282268,2277.223171267918,2299.9154856057353,2617262
2308.199951171875,2326.10009765625,2293.0,2325.0,3298364
2276.199951171875,2327.89990234375,2272.39990234375,2308.199951171875,3587597
2284.199951171875,2295.60009765625,2260.89990234375,2275.0,2653950
2284.199951171875,2284.199951171875,2284.199951171875,2284.199951171875,0
2258.89990234375,2334.0,2235.0,2291.0,16331582
2297.39990234375,2335.0,2280.0,2284.0,7505095
2446.89990234375,2457.39990234375,2316.199951171875,2320.0,11306127
2241.699951171875,2393.0,2224.800048828125,2393.0,15660062
2241.0,2253.10009765625,2216.60009765625,2241.699951171875,4867263
2198.89990234375,2271.800048828125,2192.0,2262.89990234375,5019717
2165.0,2177.0,2144.10009765625,2170.0,3956202
